transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,location,transaction_status,year,month,month_name,day,day_name,week,high_value_flag,customer_avg_transaction,suspicious_flag,daily_txn_count,high_frequency_flag,risk_level
1,443,2024-04-21,Credit,5258.67,Fuel,Chennai,Failed,2024,4,April,21,Sunday,16,False,2760.6749999999997,False,1,False,Low
2,305,2024-11-11,Credit,339.24,Bills,Bangalore,Success,2024,11,November,11,Monday,46,False,2446.804285714286,False,1,False,Low
3,445,2024-12-08,Debit,2108.1,Travel,Delhi,Failed,2024,12,December,8,Sunday,49,False,2836.790769230769,False,1,False,Low
4,17,2024-05-24,Credit,3582.97,Travel,Chennai,Success,2024,5,May,24,Friday,21,False,3164.6292857142857,False,1,False,Low
5,330,2024-03-05,Credit,2651.62,Travel,Delhi,Success,2024,3,March,5,Tuesday,10,False,3277.065714285714,False,1,False,Low
6,57,2024-09-03,Credit,5365.32,Groceries,Hyderabad,Success,2024,9,September,3,Tuesday,36,False,3772.33,False,1,False,Low
7,311,2024-08-10,Debit,225.05,Entertainment,Bangalore,Success,2024,8,August,10,Saturday,32,False,2285.045,False,1,False,Low
8,497,2024-11-08,Credit,3520.34,Fuel,Delhi,Success,2024,11,November,8,Friday,45,False,3310.4718181818184,False,1,False,Low
9,303,2024-04-15,Credit,2290.89,Fuel,Hyderabad,Success,2024,4,April,15,Monday,16,False,2468.497142857143,False,1,False,Low
10,12,2024-06-29,Debit,1430.05,Groceries,Bangalore,Success,2024,6,June,29,Saturday,26,False,3290.8705882352942,False,1,False,Low
11,318,2024-07-02,Credit,1247.8,Travel,Delhi,Success,2024,7,July,2,Tuesday,27,False,2287.6078571428575,False,1,False,Low
12,80,2024-08-13,Debit,2909.33,Fuel,Delhi,Success,2024,8,August,13,Tuesday,33,False,1584.8539999999998,False,1,False,Low
13,216,2024-09-21,Credit,6649.09,Fuel,Delhi,Success,2024,9,September,21,Saturday,38,False,3033.8964285714287,False,1,False,Low
14,339,2024-10-04,Debit,2056.58,Bills,Delhi,Success,2024,10,October,4,Friday,40,False,2620.049,False,1,False,Low
15,264,2024-03-29,Credit,5224.17,Shopping,Mumbai,Success,2024,3,March,29,Friday,13,False,3052.8775,False,1,False,Low
16,479,2024-06-24,Credit,1543.28,Groceries,Delhi,Success,2024,6,June,24,Monday,26,False,2648.497142857143,False,1,False,Low
17,149,2024-01-18,Credit,324.07,Groceries,Mumbai,Success,2024,1,January,18,Thursday,3,False,2861.5566666666664,False,1,False,Low
18,81,2024-04-15,Debit,190.44,Travel,Mumbai,Success,2024,4,April,15,Monday,16,False,1487.8712500000001,False,1,False,Low
19,215,2024-09-27,Credit,158.1,Groceries,Hyderabad,Success,2024,9,September,27,Friday,39,False,2785.597272727273,False,1,False,Low
20,485,2024-11-14,Debit,1434.83,Travel,Bangalore,Success,2024,11,November,14,Thursday,46,False,2709.1407142857142,False,1,False,Low
21,374,2024-06-15,Debit,1234.02,Bills,Mumbai,Success,2024,6,June,15,Saturday,24,False,2523.3455555555556,False,1,False,Low
22,464,2024-01-13,Debit,3796.87,Bills,Chennai,Success,2024,1,January,13,Saturday,2,False,5235.467142857143,False,1,False,Low
23,198,2024-12-02,Debit,4073.95,Entertainment,Mumbai,Success,2024,12,December,2,Monday,49,False,3583.8900000000003,False,2,False,Low
24,200,2024-02-01,Credit,156.58,Travel,Chennai,Success,2024,2,February,1,Thursday,5,False,2120.235,False,1,False,Low
25,25,2024-02-09,Credit,749.71,Bills,Hyderabad,Success,2024,2,February,9,Friday,6,False,2634.243571428571,False,1,False,Low
26,466,2024-05-27,Credit,961.7,Travel,Chennai,Success,2024,5,May,27,Monday,22,False,3535.343636363636,False,1,False,Low
27,89,2024-08-05,Debit,2379.65,Groceries,Hyderabad,Success,2024,8,August,5,Monday,32,False,2299.3766666666666,False,1,False,Low
28,268,2024-08-06,Credit,468.26,Entertainment,Hyderabad,Success,2024,8,August,6,Tuesday,32,False,1374.0561538461538,False,1,False,Low
29,143,2024-03-22,Debit,431.41,Shopping,Hyderabad,Success,2024,3,March,22,Friday,12,False,4372.893846153846,False,1,False,Low
30,59,2024-11-28,Debit,8635.92,Fuel,Chennai,Success,2024,11,November,28,Thursday,48,False,3048.9886363636365,False,1,False,Low
31,410,2024-07-26,Debit,4892.03,Fuel,Chennai,Success,2024,7,July,26,Friday,30,False,4108.514999999999,False,1,False,Low
32,489,2024-07-19,Credit,597.75,Entertainment,Hyderabad,Success,2024,7,July,19,Friday,29,False,2389.841538461538,False,1,False,Low
33,365,2024-11-27,Credit,1565.5,Travel,Hyderabad,Success,2024,11,November,27,Wednesday,48,False,3701.0699999999997,False,1,False,Low
34,26,2024-02-07,Debit,1318.41,Travel,Bangalore,Success,2024,2,February,7,Wednesday,6,False,2586.4387500000003,False,1,False,Low
35,47,2024-07-29,Credit,4696.32,Travel,Hyderabad,Success,2024,7,July,29,Monday,31,False,3105.0833333333335,False,1,False,Low
36,288,2024-11-22,Credit,2141.35,Shopping,Delhi,Success,2024,11,November,22,Friday,47,False,3397.079230769231,False,1,False,Low
37,266,2024-09-05,Debit,410.38,Fuel,Bangalore,Success,2024,9,September,5,Thursday,36,False,4335.420833333334,False,1,False,Low
