transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,location,transaction_status
1,443,2024-04-21,Credit,5258.67,Fuel,Chennai,Failed
2,305,2024-11-11,Credit,339.24,Bills,Bangalore,Success
3,445,2024-12-08,Debit,2108.1,Travel,Delhi,Failed
4,17,2024-05-24,Credit,3582.97,Travel,Chennai,Success
5,330,2024-03-05,Credit,2651.62,Travel,Delhi,Success
6,57,2024-09-03,Credit,5365.32,Groceries,Hyderabad,Success
7,311,2024-08-10,Debit,225.05,Entertainment,Bangalore,Success
8,497,2024-11-08,Credit,3520.34,Fuel,Delhi,Success
9,303,2024-04-15,Credit,2290.89,Fuel,Hyderabad,Success
10,12,2024-06-29,Debit,1430.05,Groceries,Bangalore,Success
11,318,2024-07-02,Credit,1247.8,Travel,Delhi,Success
12,80,2024-08-13,Debit,2909.33,Fuel,Delhi,Success
13,216,2024-09-21,Credit,6649.09,Fuel,Delhi,Success
14,339,2024-10-04,Debit,2056.58,Bills,Delhi,Success
15,264,2024-03-29,Credit,5224.17,Shopping,Mumbai,Success
16,479,2024-06-24,Credit,1543.28,Groceries,Delhi,Success
17,149,2024-01-18,Credit,324.07,Groceries,Mumbai,Success
18,81,2024-04-15,Debit,190.44,Travel,Mumbai,Success
19,215,2024-09-27,Credit,158.1,Groceries,Hyderabad,Success
20,485,2024-11-14,Debit,1434.83,Travel,Bangalore,Success
21,374,2024-06-15,Debit,1234.02,Bills,Mumbai,Success
22,464,2024-01-13,Debit,3796.87,Bills,Chennai,Success
23,198,2024-12-02,Debit,4073.95,Entertainment,Mumbai,Success
24,200,2024-02-01,Credit,156.58,Travel,Chennai,Success
25,25,2024-02-09,Credit,749.71,Bills,Hyderabad,Success
26,466,2024-05-27,Credit,961.7,Travel,Chennai,Success
27,89,2024-08-05,Debit,2379.65,Groceries,Hyderabad,Success
28,268,2024-08-06,Credit,468.26,Entertainment,Hyderabad,Success
29,143,2024-03-22,Debit,431.41,Shopping,Hyderabad,Success
30,59,2024-11-28,Debit,8635.92,Fuel,Chennai,Success
31,410,2024-07-26,Debit,4892.03,Fuel,Chennai,Success
32,489,2024-07-19,Credit,597.75,Entertainment,Hyderabad,Success
33,365,2024-11-27,Credit,1565.5,Travel,Hyderabad,Success
34,26,2024-02-07,Debit,1318.41,Travel,Bangalore,Success
35,47,2024-07-29,Credit,4696.32,Travel,Hyderabad,Success
36,288,2024-11-22,Credit,2141.35,Shopping,Delhi,Success
37,266,2024-09-05,Debit,410.38,Fuel,Bangalore,Success
38,16,2024-08-14,Debit,4029.61,Entertainment,Bangalore,Success
39,199,2024-02-17,Credit,1516.96,Travel,Bangalore,Success
40,401,2024-01-18,Debit,915.19,Bills,Delhi,Success
41,407,2024-10-21,Debit,1412.41,Groceries,Bangalore,Success
42,282,2024-07-14,Credit,2066.01,Shopping,Bangalore,Success
43,469,2024-07-05,Credit,1260.74,Travel,Chennai,Success
44,86,2024-12-10,Debit,830.84,Fuel,Chennai,Success
